id	GSM595407_Control	GSM595411_Control	GSM595414_Control	GSM595416_Control	GSM595417_Control	GSM595419_Control	GSM595421_Treat	GSM595422_Treat	GSM595423_Treat	GSM595424_Treat	GSM595425_Treat	GSM595426_Treat	GSM595427_Treat	GSM595428_Treat	GSM595429_Treat	GSM595432_Treat	GSM595434_Treat	GSM595435_Treat	GSM595437_Treat	GSM595439_Treat	GSM595441_Treat	GSM595443_Treat	GSM595445_Treat
AAK1	6.1286872173913	5.97408339130435	6.0535412173913	6.22991765217391	6.36297786956522	6.2348362173913	6.11081773913044	6.14445830434783	6.07850169565217	6.10214091304348	6.20558752173913	6.23230969565217	6.16631382608696	5.94961839130435	5.97970313043478	6.00950686956522	6.09179960869565	6.12992852173913	6.06201717391304	6.14150565217391	6.05664630434783	6.13165982608696	6.1450252173913
AAMDC	6.23409086956522	6.21514573913043	6.42501326086956	5.99476839130435	5.8596122173913	6.00183286956522	5.98725139130435	5.84134660869565	6.52365704347826	6.02343234782609	6.01766030434783	6.38040113043478	6.2935857826087	5.94949217391304	5.78409782608696	6.06259347826087	5.93918473913044	6.13795082608696	6.11273386956522	6.1149372173913	5.97126334782609	6.11540765217391	6.10422417391304
AAMP	8.57086256521739	8.54776113043478	8.50357439130435	8.44793347826087	9.132566	8.58299791304348	8.49078473913043	8.61229695652174	8.39053008695652	8.56795826086957	8.62727686956522	8.35405160869565	8.23131830434783	8.72091508695652	8.26192217391304	9.08296191304348	8.95832815217391	8.76613304347826	8.70498956521739	8.80738656521739	8.74518308695652	8.84234056521739	8.77954508695652
AANAT	3.66528352173913	3.96732173913043	3.69735995652174	3.68027173913043	3.45872317391304	3.73555060869565	3.60113286956522	3.76631282608696	3.64094956521739	3.69024665217391	3.75098869565217	3.94626291304348	3.8045667826087	3.60048804347826	3.59964439130435	3.95318965217391	3.74645030434783	4.08896095652174	3.94119343478261	3.59188865217391	3.83437965217391	3.81399773913043	4.18209182608696
AAR2	8.47110830434783	8.25390343478261	8.11729030434783	8.22927495652174	8.43987708695652	8.28904230434783	8.21357513043478	8.2250527826087	8.11953639130435	8.09836056521739	8.19937486956522	8.26844873913043	8.14908165217391	8.13015243478261	8.2365997826087	8.23005782608696	8.01978282608696	8.03705004347826	8.19599106521739	8.25219373913044	8.21429	8.16542708695652	8.17353769565217
AARS	9.33352517391304	9.85766856521739	9.55596556521739	10.1966596956522	9.84659934782609	9.96080773913043	9.43829660869565	9.48678156521739	9.53100608695652	9.56486852173913	9.64119039130435	9.75019808695652	9.62108734782609	9.55116508695652	9.45722847826087	9.77925121739131	9.73151478260869	9.76152743478261	9.687162	9.63540808695652	9.63471613043478	9.65062795652174	9.64820908695652
AARS2	6.74357360869565	6.91226695652174	6.96204413043478	6.98590886956522	6.88742808695652	7.23587295652174	7.03248260869565	7.12744717391304	7.1417157826087	7.22958373913043	6.89791973913043	7.34953986956522	7.27955330434783	7.18348139130435	7.25356008695652	7.06709808695652	7.23449217391304	7.08578095652174	6.99307982608696	7.34639091304348	7.05606034782609	7.14752917391304	7.0973957826087
AASDH	6.73770526086957	7.11858417391304	7.07587669565217	7.0735117826087	6.75327634782609	7.18148582608696	7.15899395652174	7.36565791304348	7.43176782608696	7.42456013043478	7.21763647826087	7.14059630434783	7.37914360869565	7.51689352173913	6.88527743478261	6.618205	6.68621795652174	6.55806760869565	6.65683665217391	6.42184447826087	7.09285160869565	6.54821865217391	6.80135639130435
AASDHPPT	6.95391643478261	6.88912408695652	7.04379447826087	6.91095113043478	6.99952565217391	6.590272	6.89304608695652	6.90410013043478	6.85819869565217	6.95261391304348	7.10084652173913	6.90257708695652	7.10316591304348	7.00496726086956	6.80828534782609	6.74886495652174	6.72764869565217	6.66017773913044	6.56984130434783	6.54495504347826	6.66365330434783	6.44627265217391	6.68752473913043
AASS	7.37949043478261	8.36162730434783	7.25056565217391	7.91659469565217	8.57724069565217	8.18026513043478	6.06050430434783	6.491933	6.77694239130435	6.89279091304348	6.38865069565217	5.94547069565217	5.90723126086957	6.49867195652174	6.40755534782609	7.15637995652174	6.92886334782609	6.81063247826087	7.63021913043478	6.45823495652174	6.39178056521739	6.3763367826087	6.06965326086956
AATF	9.01767647826087	8.65369508695652	8.8278752173913	8.67037473913043	9.05414456521739	8.87926673913043	8.93803352173913	8.7872602173913	8.64261330434783	8.73742634782609	8.75778434782609	8.99845565217391	9.02195547826087	8.66606847826087	8.89509534782609	8.86917165217391	8.85613782608696	8.84938465217391	8.8963532173913	8.88442026086956	9.01402991304348	9.00601108695652	9.05793408695652
AATK	8.30436734782609	8.21357513043478	8.1333162173913	8.70746895652174	8.84561213043478	9.04961408695652	8.23735369565217	7.83081043478261	7.9069827826087	7.99571895652174	8.10844217391304	8.32377973913044	8.40157382608696	7.93097330434783	8.2876552173913	8.50406360869565	8.46137813043478	7.89998160869565	7.90618634782609	8.49208673913044	8.24978930434783	8.42972434782609	8.459955
AB488780	6.04026682608696	6.76013856521739	6.53661156521739	6.93994482608696	6.67573430434783	7.0148042173913	7.12867930434783	7.13058356521739	7.05815034782609	6.94396643478261	6.76880991304348	7.2919222173913	7.204076	7.0561365	7.27155456521739	6.85253513043478	6.86363786956522	6.74104491304348	6.92616717391304	7.11900039130435	7.20304817391304	6.98142791304348	6.74357360869565
