id	GSM1854187_Control	GSM1854188_Control	GSM1854189_Control	GSM1854182_Treat	GSM1854183_Treat	GSM1854184_Treat	GSM1854185_Treat	GSM1854186_Treat
 MBL1P 	4.479038625	4.40905225	4.50157575	4.438062625	4.344286875	4.3513915	4.457745375	4.4206495
 MBL2 	3.530864625	3.519735375	3.4158615	3.495102625	3.356253875	3.410471125	3.492963125	3.464622125
 MBLAC1 	6.625756625	6.722216875	6.675916375	6.739138625	6.80651575	7.154354375	6.832967375	6.9478885
 MBLAC2 	6.24659875	6.160316625	6.157765375	6.1075595	6.135019	6.095825875	6.13813775	6.080798125
 MBNL1-AS1 	6.207042375	6.06027075	6.140176125	6.177135625	6.316778875	6.320789125	6.460125	6.140507
 MBNL1 	8.65803875	8.633457875	8.72878025	8.630310875	8.669386	8.4429245	8.722661875	8.627639375
 MBNL2 	8.9888535	8.880351875	9.028332625	8.89834025	8.802108	8.826345125	8.8793675	8.880351875
 MBNL3 	6.33992525	6.313274625	6.35542725	6.193873	6.51424025	5.838295625	6.229646	6.338271125
 MBOAT1 	7.461095125	7.470478875	7.370421125	7.354245	7.430271	7.06873775	7.6433835	7.504449125
 MBOAT2 	6.244181875	5.779356375	6.86419075	5.792138875	5.783695	5.486075125	5.805569625	5.703887875
 MBOAT4 	2.831592375	2.990145	2.778540375	2.77471525	2.800001125	2.725702625	2.80043075	2.759688
 MBOAT7 	6.51759775	6.495227125	6.375694625	6.4934505	6.7355185	6.539202875	6.369794875	6.499795625
 MBP 	5.760706	5.78645675	5.7722808125	5.674301625	5.737921125	5.70726125	5.735217375	5.660571875
 MBTD1 	5.87705225	5.830982625	6.142073	5.717734625	5.821491625	5.5251585	5.8594215	5.839713375
 MBTPS1 	7.8773005	7.99126875	8.016478375	7.93480275	7.88484525	7.8375635	7.95933225	8.026773
 MBTPS2 	6.788016375	6.372995875	6.3475215	6.67979425	6.533319375	6.47270075	6.366882625	6.157901
 MC2R 	2.490565375	2.577148875	2.542424875	2.539332625	2.494068	2.75471025	2.54705725	2.632270125
 MC3R 	4.7759605	4.66726875	4.396267125	4.447840625	4.486116125	4.549144	4.277006875	4.438418375
 MC4R 	2.762438375	2.655184625	2.751285	2.631810625	2.733894	2.867578625	2.74097	2.715996625
 MC5R 	3.007434125	3.487137125	3.220604125	2.96780325	3.19855875	3.0935775	3.292837875	3.255305625
 MCAM 	7.830732125	8.43948625	7.649013875	8.1550685	8.918127125	8.070751375	8.398596625	7.872603875
 MCAT 	6.54976425	6.707118875	6.28829375	6.752419	6.612911125	6.651580625	6.535822375	6.509001625
 MCC 	5.9728515	5.744323625	6.2734628125	5.787665875	5.8186575	5.748547875	5.77647425	5.777934125
 MCCC1-AS1 	2.62636825	2.63651525	2.83627825	2.6449835	2.708998625	2.733264375	2.67649075	2.58782375
 MCCC1 	6.827032875	6.311405125	6.63678	6.13716375	5.659725375	5.940378875	5.949121	5.859786125
 MCCC2 	6.047228375	5.82419	6.0242595	5.942549	5.85484875	5.76539	5.718663375	5.73225475
 MCCD1 	5.23919775	5.2871965	5.350025	5.278464375	5.244737	5.320082125	5.2503475	5.234695375
 MCEE 	5.352041625	5.373384	5.3827065	5.24733275	5.329867125	5.357771375	5.378067125	5.57832375
