id	GSM2978789_Control	GSM2978790_Control	GSM2978791_Control	GSM2978792_Control	GSM2978793_Control	GSM2978794_Control	GSM2978795_Control	GSM2978796_Control	GSM2978797_Control	GSM2978798_Control	GSM2978799_Control	GSM2978752_Treat	GSM2978753_Treat	GSM2978754_Treat	GSM2978755_Treat	GSM2978756_Treat	GSM2978757_Treat	GSM2978758_Treat	GSM2978759_Treat	GSM2978760_Treat	GSM2978761_Treat	GSM2978762_Treat	GSM2978763_Treat	GSM2978764_Treat	GSM2978765_Treat	GSM2978766_Treat	GSM2978767_Treat	GSM2978768_Treat	GSM2978769_Treat	GSM2978770_Treat	GSM2978771_Treat	GSM2978772_Treat	GSM2978773_Treat
 AATF 	8.22430839583333	7.93986666666667	8.46377277083333	8.51956052083333	8.607950625	8.59732847916667	7.98582558333333	8.89524166666667	8.3553209375	8.50266770833333	7.7856121875	8.50371125	8.54176420833333	8.51847960416667	8.590185	8.45574822916667	8.60561552083333	8.55741296875	8.58900979166667	8.4070484375	8.15163958333333	8.58387427083333	8.6495443125	8.53690291666667	8.6149861875	8.42918354166667	8.45935233333333	8.48004666666667	8.47479927083333	8.29090354166667	8.55215510416667	8.5558965625	8.42203410416667
 AATK-AS1 	7.115096875	7.46358645833333	7.29531302083333	7.23369947916667	7.1382160625	7.14328952083333	7.36121427083333	7.2606974375	7.32445104166667	7.03965758333333	7.38947733333333	6.88463072916667	6.78289697916667	6.7432099375	6.98749927083333	7.06309583333333	7.23265927083333	6.45222979166667	6.7418153125	6.90015989583333	6.60208858333333	6.530119625	6.8960796875	6.63971125	6.71119027083333	6.94842129166667	6.4901334375	7.04789266666667	7.058769375	6.62227527083333	6.65960447916667	6.82884927083333	6.836626875
 AATK 	7.124883125	7.41112677083333	7.0018946875	7.0713968125	6.906806875	6.992914375	7.33523625	6.8201628125	6.9621115625	6.98558505208333	7.4651890625	6.16786566666667	6.33996727083333	6.69030989583333	6.93147495833333	6.6189043125	6.60949572916667	6.34175789583333	6.60276645833333	6.60010395833333	6.52593489583333	6.11455572916667	6.5031371875	6.3863028125	6.19717375	6.660539375	6.33949854166667	6.51675135416667	6.42568802083333	6.337866625	6.6353100625	6.60026833333333	6.33418557291667
 ABAT 	7.22339125	7.61339760416667	7.9945425	7.52494291666667	7.62920829166667	7.3748919375	7.41364125	7.561726875	7.843710625	7.27752327083333	7.244226875	7.32259020833333	7.774723125	7.62661479166667	7.663335625	7.07261145833333	7.09818064583333	7.4816171875	7.36723816666667	8.01769895833333	7.89622333333333	7.84626583333333	7.26904875	7.540160625	7.71062489583333	7.64722479166667	7.61561460416667	7.51992260416667	7.460181	7.68798833333333	7.43331875	7.47310625	7.638534375
 ABCA1 	9.0431144375	8.3863745625	9.3756678125	8.3613790625	8.78511677083333	9.09623927083333	7.95124625	8.94747077083333	8.56747979166667	8.87330420833333	8.0003338125	9.60232027083333	8.44873027083333	9.11209452083333	9.45729885416667	9.15546604166667	9.58259364583333	9.48474802083333	9.488659625	9.52415177083333	9.70708422916667	9.19807879166667	9.69819902083333	9.39963520833333	9.0441409375	9.19807879166667	9.04237604166667	9.9838978125	9.34920375	9.45547791666667	9.548555125	9.58752160416667	9.5830913125
 ABCA10 	6.912396625	6.87376770833333	6.60097383333333	6.3931584375	6.86086766666667	6.2352211875	6.50945614583333	6.7701174375	6.59343395833333	6.24029697916667	6.72222702083333	7.72610395833333	6.85272375	8.08675958333333	8.1214225	7.23943958333333	7.972073125	7.82097958333333	7.858170375	8.01037104166667	8.585168125	8.891948125	7.03592458333333	7.97654229166667	7.73765041666667	8.88653604166667	8.02546620833333	9.39363583333333	7.17568697916667	8.2283028125	8.23592508333333	7.19368666666667	9.32612645833333
 ABCA11P 	5.32492270833333	5.17617802083333	5.41029760416667	5.28878379166667	5.61311927083333	5.2164928125	5.05434535416667	5.14215502083333	5.12251177083333	5.208021875	4.80158395833333	6.40451513541667	6.28632041666667	6.83309916666667	6.74617102083333	6.27637177083333	6.18337270833333	6.74116239583333	6.98225504166667	6.58476085416667	6.836626875	7.26925902083333	6.98225504166667	6.39292989583333	6.88722454166667	6.75107635416667	6.98184447916667	7.0150128125	6.40379979166667	7.05435166666667	6.8935496875	6.61582004166667	7.22523197916667
 ABCA12 	4.73688635416667	4.722415625	4.80766166666667	4.8795774375	4.69609385416667	4.85410291666667	4.91929125	4.74446	4.6279209375	4.87715552083333	4.6810378125	5.7570928125	6.42849045833333	5.69067391666667	5.40148858333333	5.49480875	5.7391994375	5.156921875	5.28613916666667	6.33364302083333	5.57163660416667	5.7468696875	5.275755625	5.660845	5.87490854166667	5.25944104166667	6.58923135416667	5.073565	5.6058240625	6.461709375	6.13141708333333	5.62377083333333	5.60357052083333
 ABCA13 	5.4730140625	6.40073895833333	6.78438875	5.5016525	6.10181470833333	5.89557239583333	5.59834985416667	7.11769791666667	6.27564895833333	5.399995625	5.85465197916667	9.58024745833333	9.73521989583333	7.88833910416667	7.005656875	9.46887104166667	6.818861625	6.537054375	7.05373270833333	7.90283958333333	8.14636885416667	8.75432033333333	6.91768708333333	8.47550541666667	8.047485625	6.1269763125	9.40523204166667	6.63421041666667	7.51632458333333	9.35719858333333	6.9982095	7.06703802083333	8.57697239583333
 ABCA2 	7.942444375	8.07585354166667	8.31715614583333	8.133984	7.93698260416667	7.99827485416667	8.29586677083333	7.76044739583333	7.91465333333333	8.09310139583333	8.13934833333333	7.5351265625	7.1827496875	7.37329666666667	7.24106097916667	7.33523625	7.51278322916667	7.58973770833333	7.28377833333333	7.1667653125	7.32595545833333	7.3032840625	7.11711916666667	7.39188395833333	7.29424229166667	7.17123183333333	7.25144922916667	7.11547860416667	7.17451260416667	7.38713833333333	7.29588895833333	7.2304090625	7.2955199375
